underlying_symbol,quote_datetime,sequence_number,root,expiration,strike,option_type,exchange_id,trade_size,trade_price,trade_condition_id,canceled_trade_condition_id,best_bid,best_ask,underlying_bid,underlying_ask,number_of_exchanges,{exchange,bid_size,bid,ask_size,ask}[number_of_exchanges]
^VIX,2016-06-01 14:14:33.225,82565804,VIX,2016-06-15,15.000,C,5,4,1.0000,0,0,0.9500,1.0500,14.7000,14.7000,1,5,10502,0.9500,7519,1.0500
^VIX,2016-06-01 14:14:33.250,82566166,VIX,2016-06-15,15.000,C,5,138,1.0000,0,0,0.9500,1.0500,14.7000,14.7000,1,5,15739,0.9500,7519,1.0500
^VIX,2016-06-01 14:18:29.525,83453206,VIX,2016-06-15,15.000,C,5,10,1.0000,0,0,0.9500,1.0000,14.6750,14.6750,1,5,3,0.9500,10366,1.0000
^VIX,2016-06-01 14:18:31.550,16353046,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,0.9500,14.6750,14.6750,1,5,8014,0.9000,297,0.9500
^VIX,2016-06-01 14:18:31.550,83461919,VIX,2016-06-15,15.000,C,5,5,0.9500,0,0,0.9000,0.9500,14.6750,14.6750,1,5,9639,0.9000,198,0.9500
^VIX,2016-06-01 14:18:31.550,83461922,VIX,2016-06-15,15.000,C,5,94,0.9500,0,0,0.9000,0.9500,14.6750,14.6750,1,5,9639,0.9000,198,0.9500
^VIX,2016-06-01 14:20:37.600,83998130,VIX,2016-06-15,15.000,C,5,10,0.9500,0,0,0.9000,0.9500,14.6500,14.6500,1,5,20176,0.9000,188,0.9500
^VIX,2016-06-01 14:22:00.000,84219714,VIX,2016-06-15,15.000,C,5,7,0.9500,0,0,0.9000,0.9500,14.6500,14.6500,1,5,16502,0.9000,181,0.9500
^VIX,2016-06-01 14:22:00.025,84219735,VIX,2016-06-15,15.000,C,5,181,0.9500,0,0,0.9000,0.9500,14.6500,14.6500,1,5,16553,0.9000,181,0.9500
^VIX,2016-06-01 14:26:53.200,85001502,VIX,2016-06-15,15.000,C,5,9,1.0000,0,0,0.9500,1.0000,14.6750,14.6750,1,5,12027,0.9500,27,1.0000
^VIX,2016-06-01 14:26:53.825,85002509,VIX,2016-06-15,15.000,C,5,1,1.0000,0,0,0.9500,1.0000,14.6750,14.6750,1,5,12027,0.9500,26,1.0000
^VIX,2016-06-01 14:26:58.700,85013015,VIX,2016-06-15,15.000,C,5,1,0.9500,0,0,0.9500,1.0000,14.6750,14.6750,1,5,12326,0.9500,26,1.0000
^VIX,2016-06-01 14:40:18.750,87699506,VIX,2016-06-15,15.000,C,5,15,1.0000,0,0,0.9500,1.0500,14.7000,14.7000,1,5,4273,0.9500,14060,1.0500
^VIX,2016-06-01 14:54:29.325,157489604,VIX,2016-06-15,15.000,C,5,5,0.9500,0,0,0.9500,1.0000,14.7250,14.7250,1,5,5,0.9500,10989,1.0000
^VIX,2016-06-01 14:54:48.225,90452401,VIX,2016-06-15,15.000,C,5,5,0.9500,0,0,0.9000,1.0000,14.7250,14.7250,1,5,7601,0.9000,11936,1.0000
^VIX,2016-06-01 14:57:51.450,627782542,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.7250,14.7250,1,5,19791,0.9000,11211,1.0000
^VIX,2016-06-01 14:58:34.125,91079170,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.7250,14.7250,1,5,18789,0.9000,12347,1.0000
^VIX,2016-06-01 14:58:34.575,91080026,VIX,2016-06-15,15.000,C,5,2,0.9500,0,0,0.9000,1.0000,14.7250,14.7250,1,5,18789,0.9000,11058,1.0000
^VIX,2016-06-01 14:59:31.375,91219095,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.7250,14.7250,1,5,18789,0.9000,11442,1.0000
^VIX,2016-06-01 15:07:57.425,25648568,VIX,2016-06-15,15.000,C,5,2,0.9500,0,0,0.9000,1.0000,14.6750,14.6750,1,5,18944,0.9000,9172,1.0000
^VIX,2016-06-01 15:08:11.675,495446628,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.6750,14.6750,1,5,18944,0.9000,9260,1.0000
^VIX,2016-06-01 15:08:50.825,92872615,VIX,2016-06-15,15.000,C,5,3,0.9500,0,0,0.9000,1.0000,14.6750,14.6750,1,5,17997,0.9000,9311,1.0000
^VIX,2016-06-01 15:09:08.250,25793103,VIX,2016-06-15,15.000,C,5,2,0.9500,0,0,0.9000,1.0000,14.6750,14.6750,1,5,15055,0.9000,11817,1.0000
^VIX,2016-06-01 15:20:13.575,94818385,VIX,2016-06-15,15.000,C,5,2,0.9500,0,0,0.9000,1.0000,14.6750,14.6750,1,5,13361,0.9000,4022,1.0000
^VIX,2016-06-01 15:20:18.950,94840072,VIX,2016-06-15,15.000,C,5,6,0.9500,0,0,0.9000,1.0000,14.6750,14.6750,1,5,13829,0.9000,3875,1.0000
